Age,Salary,Education_Level,Years_of_Experience,Department,Location
56,86788,Master,7,Sales,Chicago
69,107879,PhD,7,HR,Los Angeles
46,63827,Bachelor,5,Marketing,New York
32,30655,PhD,13,HR,San Francisco
60,69859,High School,31,Sales,Austin
25,78625,Bachelor,34,Engineering,New York
38,77098,High School,9,HR,Los Angeles
56,40251,PhD,2,Marketing,Los Angeles
36,25526,High School,11,Marketing,San Francisco
40,93760,PhD,30,Engineering,New York
28,72837,High School,28,HR,Chicago
28,36536,PhD,4,Sales,New York
41,53541,Master,24,Engineering,Los Angeles
53,104083,High School,30,HR,San Francisco
57,76027,High School,20,Finance,San Francisco
41,59531,Master,19,Marketing,Chicago
20,33712,Master,38,Sales,San Francisco
39,90455,High School,21,Sales,San Francisco
19,99744,Master,3,Sales,San Francisco
41,30109,Bachelor,12,Marketing,San Francisco
61,74268,PhD,19,HR,San Francisco
47,79615,PhD,12,Engineering,Los Angeles
55,107503,PhD,16,HR,New York
19,54759,Bachelor,35,Engineering,Austin
38,110708,Master,32,Sales,San Francisco
50,85112,Master,0,HR,Austin
29,51589,High School,14,Sales,Austin
39,55015,Master,12,Finance,Los Angeles
61,54009,High School,16,Sales,San Francisco
42,108309,Bachelor,23,Sales,Austin
66,87046,PhD,7,Engineering,San Francisco
44,51143,PhD,26,Finance,Chicago
59,31154,PhD,22,Sales,Chicago
45,46804,Master,7,Sales,Chicago
33,66688,High School,7,Finance,Austin
32,89288,High School,25,Finance,Chicago
64,76195,Bachelor,12,HR,Los Angeles
68,45581,Master,38,Engineering,Los Angeles
61,77648,Bachelor,36,Finance,Austin
69,55087,High School,27,Finance,San Francisco
20,74930,High School,24,Marketing,New York
54,57981,PhD,15,Finance,San Francisco
68,94298,Master,1,Engineering,San Francisco
24,71167,High School,17,Sales,San Francisco
38,100304,PhD,16,Sales,San Francisco
26,68408,Master,29,Sales,New York
56,64499,Bachelor,38,Sales,Chicago
35,77269,Master,12,Marketing,San Francisco
21,63559,Master,31,Finance,Los Angeles
42,99319,High School,28,Sales,Austin
31,73787,High School,29,HR,Austin
67,60488,Master,17,Sales,Los Angeles
26,99441,High School,12,Finance,San Francisco
43,99663,High School,20,Sales,New York
19,47431,High School,29,Marketing,Chicago
37,86681,PhD,20,Engineering,Austin
45,88483,PhD,16,Engineering,Chicago
64,74153,Master,39,Finance,New York
24,31368,High School,18,Engineering,Austin
61,52424,PhD,14,Engineering,Chicago
25,70004,Master,8,HR,New York
64,108869,High School,9,Finance,Chicago
52,113652,Bachelor,30,Finance,San Francisco
31,81985,High School,22,Engineering,New York
34,75069,High School,29,Engineering,Chicago
53,77326,PhD,32,Engineering,San Francisco
67,106061,Master,8,Marketing,San Francisco
57,48398,Master,0,Sales,New York
21,75861,PhD,34,Marketing,Los Angeles
19,100897,High School,10,Finance,Austin
23,106905,Bachelor,33,HR,New York
59,93577,High School,15,Sales,San Francisco
21,90641,High School,8,HR,San Francisco
46,34078,Bachelor,31,Finance,New York
35,50003,PhD,14,Finance,Los Angeles
43,87768,Master,11,HR,Austin
61,76047,PhD,32,HR,Chicago
51,96626,PhD,13,HR,New York
27,82660,High School,7,Finance,Austin
53,74786,Master,7,Engineering,Austin
31,26925,Master,26,HR,San Francisco
48,108976,PhD,11,Sales,Chicago
65,51015,Bachelor,0,Finance,New York
32,58320,PhD,39,Marketing,San Francisco
25,89881,Bachelor,10,Marketing,San Francisco
31,115827,Master,38,Sales,Los Angeles
40,51289,PhD,30,Engineering,Austin
57,28389,High School,16,HR,New York
38,50683,PhD,32,Finance,New York
33,38629,Master,31,HR,New York
62,86550,High School,28,Finance,San Francisco
35,49826,High School,20,Marketing,Los Angeles
64,51630,Bachelor,20,HR,Chicago
41,71163,High School,39,Sales,San Francisco
43,91435,High School,22,Engineering,Chicago
42,36653,PhD,5,Sales,Los Angeles
62,52961,Master,21,Engineering,Austin
58,106941,Bachelor,37,HR,New York
46,99137,PhD,36,HR,Chicago
32,58662,High School,7,Engineering,San Francisco
62,81446,High School,34,Marketing,Chicago
18,46288,Bachelor,10,Finance,Austin
42,61877,Master,23,Sales,New York
24,40313,Bachelor,20,Sales,Chicago
26,105885,PhD,1,Sales,Austin
41,97715,Bachelor,39,HR,San Francisco
18,35326,High School,18,Sales,Los Angeles
61,26560,PhD,38,Finance,San Francisco
25,104148,High School,27,Finance,New York
41,108186,Master,16,Engineering,San Francisco
28,51745,High School,5,HR,San Francisco
68,56890,High School,18,Finance,San Francisco
34,45022,Bachelor,37,Marketing,San Francisco
25,77579,High School,27,HR,New York
52,95316,PhD,1,HR,Austin
52,108847,PhD,37,Finance,Chicago
50,53380,Master,36,Marketing,Los Angeles
22,27356,PhD,3,Engineering,Chicago
59,95326,Bachelor,21,Finance,Chicago
56,117447,Master,25,Marketing,Los Angeles
58,114899,PhD,35,HR,New York
45,45049,Bachelor,12,Marketing,Los Angeles
24,100717,PhD,31,HR,New York
26,41082,PhD,16,Finance,Chicago
25,25661,High School,35,Finance,New York
29,62412,PhD,18,Sales,Austin
51,27920,PhD,34,Sales,Los Angeles
50,116194,Bachelor,39,Sales,Austin
65,85315,Bachelor,27,Finance,Chicago
40,104561,High School,0,Engineering,Los Angeles
41,33946,PhD,17,Finance,Chicago
54,119242,High School,39,Marketing,Austin
52,70500,PhD,32,Finance,Chicago
61,41309,Master,11,Finance,Los Angeles
57,80230,Master,7,HR,Los Angeles
39,55027,High School,23,HR,Chicago
44,97541,High School,15,HR,Los Angeles
52,84321,High School,3,Finance,Los Angeles
18,25956,Bachelor,37,Engineering,Chicago
52,99131,Bachelor,26,Marketing,Austin
54,72908,Bachelor,8,Marketing,Los Angeles
64,103339,High School,15,Engineering,Los Angeles
31,50963,PhD,11,Engineering,Los Angeles
20,64443,Master,30,Marketing,Los Angeles
18,64063,High School,23,Sales,Chicago
22,105818,Bachelor,13,HR,Austin
43,29703,Bachelor,24,HR,Austin
31,90128,High School,33,Marketing,New York
56,97099,High School,2,Engineering,Los Angeles
44,50849,Bachelor,23,Sales,Los Angeles
26,56860,PhD,8,Marketing,New York
32,56585,Bachelor,25,HR,Austin
32,47015,Bachelor,19,Finance,San Francisco
43,102539,High School,39,Engineering,San Francisco
59,68585,PhD,9,Finance,Austin
30,51958,Bachelor,18,Marketing,Los Angeles
68,51017,Bachelor,2,HR,San Francisco
49,101707,Master,23,Sales,Chicago
56,70350,High School,4,Finance,Chicago
66,37201,Master,2,Sales,New York
69,54426,Master,26,HR,Austin
49,42778,Bachelor,15,Finance,Austin
21,70241,High School,14,Sales,San Francisco
47,67229,PhD,34,Sales,Los Angeles
54,111652,Bachelor,11,Finance,Austin
40,73364,PhD,25,HR,San Francisco
56,109878,PhD,33,Sales,San Francisco
62,82056,High School,22,Marketing,Austin
32,52490,Master,30,Finance,San Francisco
60,44975,High School,19,Engineering,New York
46,51723,PhD,11,Engineering,New York
53,48279,Bachelor,22,HR,Austin
30,103301,PhD,3,Marketing,Los Angeles
49,36561,Bachelor,22,Sales,New York
24,91061,Bachelor,0,Engineering,New York
68,113397,High School,24,HR,Austin
39,74153,PhD,1,Marketing,Chicago
45,58142,Master,29,Marketing,San Francisco
19,51916,PhD,2,HR,New York
59,89324,PhD,20,HR,Chicago
62,69965,Master,24,Sales,Los Angeles
23,29648,High School,19,HR,Chicago
45,60133,PhD,21,Sales,Austin
45,75677,PhD,20,Sales,Los Angeles
61,119588,Bachelor,32,Finance,Los Angeles
